id,company_id,transaction_date,amount,declined,product_ids,user_id,company_country,birth_date,user_country,num_products,user_age,user_lifetime,declines_per_user,transaction_month,amount_per_month,sales_per_month,lost_per_month,declines_per_month
02C6201E-D90A-1859-B4EE-88D2986D3B02,b-2362,2021-08-28 23:42:24,466.92,0,"['71', '1', '19']",92,Canada,1984-09-21,United States,3,40,358,0,2021-08-01,15608.039999999999,13900.24,1707.8,7
0466A42E-47CF-8D24-FD01-C0B689713128,b-2302,2021-07-26 07:29:18,49.53,0,"['47', '97', '43']",170,Germany,1987-05-15,United Kingdom,3,37,0,0,2021-07-01,11373.93,9931.77,1442.16,8
063FBA79-99EC-66FB-29F7-25726D1764A5,b-2250,2022-01-06 21:25:27,92.61,0,"['47', '67', '31', '5']",275,Italy,1982-08-03,Canada,4,42,341,24,2022-01-01,8990.02,8236.31,753.71,3
0668296C-CDB9-A883-76BC-2E4C44F8C8AE,b-2618,2022-01-26 02:07:14,394.18,0,"['89', '83', '79']",265,United Kingdom,1999-01-10,Canada,3,26,235,0,2022-01-01,8990.02,8236.31,753.71,3
06CD9AA5-9B42-D684-DDDD-A5E394FEBA99,b-2346,2021-10-26 23:00:01,279.93,0,"['43', '31']",92,Sweden,1984-09-21,United States,2,40,358,0,2021-10-01,12281.17,10765.57,1515.6,5
07A46D48-31A3-7E87-65B9-0DA902AD109F,b-2386,2021-06-28 21:11:42,340.87,1,"['47', '23']",272,United States,1991-04-16,Canada,2,33,347,38,2021-06-01,14241.19,10817.81,3423.38,11
09DE92CE-6F27-2BB7-13B5-9385B2B3B8E2,b-2298,2021-05-11 20:40:06,303.05,1,"['67', '7']",275,Canada,1982-08-03,Canada,2,42,341,24,2021-05-01,15364.17,11659.27,3704.9,14
0A476ED9-0C13-1962-F87B-D3563924B539,b-2302,2022-02-26 20:33:54,430.49,0,"['29', '41', '11']",221,Germany,1981-08-24,Canada,3,43,262,0,2022-02-01,10941.42,10077.55,863.87,5
0BEB80B7-9D66-1707-CE4B-9DC7E71914B5,b-2338,2022-03-04 14:54:35,288.81,1,"['19', '41', '29', '3']",272,New Zealand,1991-04-16,Canada,4,33,347,38,2022-03-01,4897.62,3520.71,1376.91,5
0C7C3A33-9947-3BC1-846D-7BE3D0D17598,b-2434,2021-04-10 20:58:41,103.44,1,"['89', '31']",272,Sweden,1991-04-16,Canada,2,33,347,38,2021-04-01,15980.23,13507.68,2472.5499999999997,11
0CE957A6-CCAA-2B7A-6839-8A4B1B324853,b-2506,2022-02-02 07:29:36,428.69,1,"['83', '43', '73', '61']",269,New Zealand,1996-01-10,Canada,4,29,298,2,2022-02-01,10941.42,10077.55,863.87,5
0DD2E608-5C9E-D1B3-4999-B99F43AD735A,b-2234,2021-04-17 05:30:17,252.47,1,"['7', '47', '17']",275,Germany,1982-08-03,Canada,3,42,341,24,2021-04-01,15980.23,13507.68,2472.5499999999997,11
1017AA59-3D5F-7A4C-1992-D151A8D1FA0A,b-2618,2021-11-01 01:02:11,447.11,0,"['37', '13']",267,United Kingdom,1991-12-26,Canada,2,33,351,13,2021-11-01,8888.91,7675.74,1213.17,7
1026DA24-8929-31F1-8250-D7BAB05C13D2,b-2346,2021-12-07 09:30:38,465.31,0,"['89', '11', '97', '79']",92,Sweden,1984-09-21,United States,4,40,358,0,2021-12-01,15162.07,14177.16,984.9100000000001,3
108B1D1D-5B23-A76C-55EF-C568E49A05DD,b-2222,2021-07-07 17:43:16,293.57,0,['59'],275,Germany,1982-08-03,Canada,1,42,341,24,2021-07-01,11373.93,9931.77,1442.16,8
10A9B07A-810C-76EB-4D15-12C6CC128037,b-2346,2021-05-16 21:00:28,27.85,1,"['43', '83']",272,Sweden,1991-04-16,Canada,2,33,347,38,2021-05-01,15364.17,11659.27,3704.9,14
11ABED97-EA12-1B9A-96F0-A93ACC172179,b-2362,2021-07-14 20:55:48,157.2,0,['29'],68,Canada,1979-04-30,United States,1,45,0,0,2021-07-01,11373.93,9931.77,1442.16,8
122DC333-E19F-D629-DCD8-9C54CF1EBB9A,b-2302,2021-06-09 06:04:14,172.01,0,"['1', '67', '19']",221,Germany,1981-08-24,Canada,3,43,262,0,2021-06-01,14241.19,10817.81,3423.38,11
133B82CC-DE62-8604-2D11-3DC5449E0A5F,b-2490,2021-04-02 05:17:46,348.88,1,['29'],271,Norway,1991-09-02,Canada,1,33,194,2,2021-04-01,15980.23,13507.68,2472.5499999999997,11
135267BA-2E7D-957C-C42C-6450A2B3ED54,b-2302,2021-12-29 20:38:23,17.97,0,"['11', '71']",210,Germany,2001-02-16,Canada,2,23,320,0,2021-12-01,15162.07,14177.16,984.9100000000001,3
13DCC69F-EA07-E52B-8309-D474C6281E80,b-2370,2021-06-02 04:10:57,50.09,1,"['97', '29', '23']",272,Sweden,1991-04-16,Canada,3,33,347,38,2021-06-01,14241.19,10817.81,3423.38,11
13FBB312-B283-7976-DA47-14DE5986218A,b-2466,2021-10-30 13:42:44,80.58,1,"['11', '29', '43', '79']",272,Spain,1991-04-16,Canada,4,33,347,38,2021-10-01,12281.17,10765.57,1515.6,5
1479B3D2-B7BA-C7BB-4CE3-8D7C2DE85ABB,b-2326,2021-08-09 00:58:07,309.45,0,"['89', '41', '59']",133,United Kingdom,1998-04-15,United States,3,26,0,0,2021-08-01,15608.039999999999,13900.24,1707.8,7
14CAE5B5-8FB1-3E4A-4C85-0EA4167534F4,b-2302,2021-12-31 00:29:42,388.04,0,"['2', '13', '53', '31']",189,Germany,1998-04-23,United Kingdom,4,26,214,0,2021-12-01,15162.07,14177.16,984.9100000000001,3
